Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
GOMX-4A (Ulloriaq),乔姆X-4A,GomSpace,Denmark,6U,2/2/18,Operational,Surveillance demonstration for the Artic in AIS and ADS-B plus inter-satellite links.,sat/gomx-4a.html,https://www.nanosats.eu/sat/gomx-4a.html,
GOMX-4B (GOMX4-B),乔姆X-4B,GomSpace,Denmark,6U,2/2/18,Operational,"Demonstrate inter-satellite links, hyperspectral camera and propulsion module.",sat/gomx-4b.html,https://www.nanosats.eu/sat/gomx-4b.html,
"Juvenile (Junior Star, Shaonian Xing, MiniStar, Young Pioneer 1)",少年星一号,Commsat,China,3U,2/2/18,"Reentered, Operational",Amateur radio communications and SSTV transmission of images.,sat/juvenile.html,https://www.nanosats.eu/sat/juvenile.html,
1KUNS-PF (1KUNS-PF),肯尼亚大学纳卫星先驱1号,University of Nairobi,Kenya,1U,4/2/18,"Reentered, Operational",Educational project with satellite technology. Earth Observation and technological tests.,sat/1kuns-pf.html,https://www.nanosats.eu/sat/1kuns-pf.html,
"DebrisSat-1 (DSAT#1, DS1, Net, RemoveDEBRIS, REMDEB-DS1)",碎片卫星1号,SSTL,UK,2U,4/2/18,"Reentered, Was operational",Targets for space debris demonstration mission.,sat/debrissat-1.html,https://www.nanosats.eu/sat/debrissat-1.html,
"DebrisSat-2 (DSAT#2, DS2, VBN, RemoveDEBRIS, REMDEB-DS2)",碎片卫星2号,SSTL,UK,2U,4/2/18,"Reentered, Was operational",Targets for space debris demonstration mission.,sat/debrissat-2.html,https://www.nanosats.eu/sat/debrissat-2.html,
"Irazu (Batsu-CS 1, Irazy, Irazú, Dspace)",伊拉苏,Costa Rican Institute of Technology (TEC),Costa Rica,1U,4/2/18,"Reentered, Operational",Educational training and monitor the growth in biomass of planted trees.,sat/irazu.html,https://www.nanosats.eu/sat/irazu.html,
UBAKUSAT,乌巴库卫星,ITU (Istanbul Technical University),Turkey,3U,4/2/18,"Reentered, Was operational",Amateur radio communications and telemetry transmission.,sat/ubakusat.html,https://www.nanosats.eu/sat/ubakusat.html,
"MarCO 1 (Mars Cube One, WALL-E, MarCO-A)",火星立方体1号,NASA,US,6U,5/5/18,Was operational,First interplanetary CubeSat and relay data during Insight landing on Mars.,sat/marco.html,https://www.nanosats.eu/sat/marco.html,
"AeroCube-12 A (AC12-A, AeroCube 12A)",航天立方12A,Aerospace Corporation,US,3U,5/21/18,"Reentered, Operational, ?",Demonstrate new CubeSat platform technologies and nanotechnology payloads.,sat/aerocube-12.html,https://www.nanosats.eu/sat/aerocube-12.html,
CubeRRT (CubeSat Radiometer RFI Technology Validation ),辐射射频干扰技术验证立方星,Ohio State University,US,6U,5/21/18,"Reentered, Operational",Demonstrate technologies for Earth-sensing microwave radiometers.,sat/cuberrt.html,https://www.nanosats.eu/sat/cuberrt.html,
EnduroSat A (EnduroSat One),耐久卫星1号,EnduroSat,Bulgaria,1U,5/21/18,"Reentered, Operational, ?",Amateur radio payloads for educational training.,sat/endurosat-a.html,https://www.nanosats.eu/sat/endurosat-a.html,
EQUiSat,平等卫星,Brown University,US,1U,5/21/18,"Reentered, Semi-operational",Educational training with LED beacon visible from Earth.,sat/equisat.html,https://www.nanosats.eu/sat/equisat.html,
HaloSat (Halo-Sat),晕卫星,University of Iowa,US,6U,5/21/18,"Reentered, Operational",Map the distribution of hot gas in the Milky Way by measuring soft X-ray emissions.,sat/halosat.html,https://www.nanosats.eu/sat/halosat.html,
MemSat (MemSat-1),忆阻器卫星,Rowan University,US,1U,5/21/18,"Reentered, No signal",Compare memristors to silicon-based memory in space applications.,sat/memsat.html,https://www.nanosats.eu/sat/memsat.html,
Radix,基数卫星,Analytical Space,US,6U,5/21/18,"Reentered, Operational",First pilot satellite for demonstration of the concept of operations for a RF optical data relay.,sat/radix.html,https://www.nanosats.eu/sat/radix.html,
RadSat-g (RADSat),弧度卫星g,Montana State University,US,3U,5/21/18,"Reentered, Operational, ?",Demonstrate computer architecture designed to mitigate radiation induced faults.,sat/radsat-g.html,https://www.nanosats.eu/sat/radsat-g.html,
RainCube (Radar in a CubeSat),雨立方,NASA,US,6U,5/21/18,"Reentered, Operational",Deployable Ka-band parabolic antenna for rain precipitation measurements.,sat/raincube.html,https://www.nanosats.eu/sat/raincube.html,
TEMPEST-D (Temporal Experiment for Storms and Tropical Systems - Demonstrator),风暴和热带系统演化展示者,Colorado State University,US,6U,5/21/18,"Reentered, Operational",Risk mitigation for the TEMPEST mission that will provide the first temporal observations of cloud and precipitation processes.,sat/tempest-d.html,https://www.nanosats.eu/sat/tempest-d.html,
Luojia 1-01 (LJ 1-01),珞珈一号01星,Wuhan University,China,6U,6/2/18,Operational,Night-light Earth observation with 100 m resolution and prototype for future constellation.,sat/luojia.html,https://www.nanosats.eu/sat/luojia.html,
BHUTAN-1 (BIRDS-2),鸟卫星BTN,?,Bhutan,1U,6/29/18,"Reentered, Operational",Amateur radio communications and educational training.,sat/bhutan-1.html,https://www.nanosats.eu/sat/bhutan-1.html,
MAYA-1 (BIRDS-2),鸟卫星PHL,University of the Philippines,Philippines,1U,6/29/18,"Reentered, Operational",Amateur radio communications and educational training.,sat/maya-1.html,https://www.nanosats.eu/sat/maya-1.html,
UiTMSAT-1 (BIRDS-2),鸟卫星MYS,Universiti Teknologi MARA (UiTM),Malaysia,1U,6/29/18,"Reentered, Operational",Amateur radio communications and educational training.,sat/uitmsat-1.html,https://www.nanosats.eu/sat/uitmsat-1.html,
SiriusSat 1 (SiriusSat-1),天狼星卫星1号,Sirius Educational Centre,Russia,1U,7/9/18,"Reentered, Operational",Assembled by schoolchildren for educational training plus particle detector payload.,sat/siriussat.html,https://www.nanosats.eu/sat/siriussat.html,
"CP7 (DAVE, Damping and Vibrations Experiment, CP-7)",阻尼振荡试验卫星,California Polytechnic State University (Cal Poly),US,1U,9/15/18,"Reentered, Operational",Characterize particle damper in microgravity and camera to take photos of Earth.,sat/cp7.html,https://www.nanosats.eu/sat/cp7.html,
ELFIN-A (ELFIN),电子损耗与场研究时空模糊解决者A,University of California,US,3U,9/15/18,"Reentered, Operational",Explore the mechanisms responsible for the loss of relativistic electrons from the radiation belts.,sat/elfin.html,https://www.nanosats.eu/sat/elfin.html,
SurfSat,冲浪卫星,University of Central Florida,US,2U,9/15/18,"Reentered, No signal",Measure plasma-induced surface charging and electrostatic discharge measurements.,sat/surfsat.html,https://www.nanosats.eu/sat/surfsat.html,
SPATIUM (Space Precision Atomic-clock TIming Utility Mission),空间精密原子钟计时实用任务1,Kyushu Institute of Technology,Japan,2U,9/22/18,"Reentered, Operational",Chip scale atomic clock to help map ionosphere plasma density.,sat/spatium.html,https://www.nanosats.eu/sat/spatium.html,
"STARS-Me A Mother (Tenryu, Space Tethered Autonomous Robotic Satellite)",空间绳系自主机器人卫星-微型电梯,Shizuoka University,Japan,1U,9/22/18,"Reentered, Was operational, ?",Connected by tether to research technologies for space elevator.,sat/stars-me.html,https://www.nanosats.eu/sat/stars-me.html,
AUTCube2 (Gamacube),爱知工科大学立方星2号,Aichi University of Technology,Japan,1U,10/29/18,No signal,Artificial star seen by the eye CubeSat seen with the Naked Eye.,sat/autcube2.html,https://www.nanosats.eu/sat/autcube2.html,
"Changsha gaoxin (Changshagaoxin, TY4-01, TY-7, Zergling)",长沙高新号,Spacety,China,6U,10/29/18,Operational,Amateur radio payload satellite and also a technology verification for a next-generation 20U Spacety satellite platform.,sat/changshagaoxin.html,https://www.nanosats.eu/sat/changshagaoxin.html,
"CubeBel-1 (BSUSat-1, CubeBel1)",白俄罗斯立方星1号,Belarusian State University,Belarus,2U,10/29/18,Operational,Educational training and demonstration of attitude control plus camera and radiation spectrometer.,sat/cubebel-1.html,https://www.nanosats.eu/sat/cubebel-1.html,
Stars-AO,天文观察卫星,Shizuoka University,Japan,1U,10/29/18,Was semi-operational,Test super high sensitivity camera WAT-910BD made in WATEC.,sat/stars-ao.html,https://www.nanosats.eu/sat/stars-ao.html,
"Tianqi-1 (Tiange 1, Tianqi yi hao, Apocalypse 1)",天启1号,Guodian Gaoke,China,6U,10/29/18,Unknown,Demonstration mission for IoT constellation to launch 38 by end of 2020.,sat/tianqi.html,https://www.nanosats.eu/sat/tianqi.html,
"Tongchuan-1 (Tongchuan No. 1, Zhaojin-1, TY4-02, TY-5, PolarLight)",铜川一号,Spacety,China,6U,10/29/18,Operational,Pick up signals from gamma-ray bursts.,sat/tongchuan-1.html,https://www.nanosats.eu/sat/tongchuan-1.html,
"Xiaoxiang-1-02 (TY1-02, TY-4)",潇湘一号02星,LaserFleet,China,6U,10/29/18,Operational,New-technology verification satellite for laser communications.,sat/xiaoxiang-1.html,https://www.nanosats.eu/sat/xiaoxiang-1.html,
"Xinghe (TY1-03, Tianfuguoxing-1, TY-3)",星河号,ADASPACE,China,6U,10/29/18,Operational,Remote sensing and 'AI' demonstration for Earth observation constellation.,sat/tianfuguoxing-1.html,https://www.nanosats.eu/sat/tianfuguoxing-1.html,
Irvine01 (Irvine 01),欧文1号,Woodbridge High School,US,1U,11/11/18,"Reentered, Operational",Educational training plus camera and propulsion module from Accion.,sat/irvine01.html,https://www.nanosats.eu/sat/irvine01.html,
Proxima I,近心1号,Fleet Space,Australia,1.5U,11/11/18,Operational,IoT satellite network.,sat/fleet-proxima.html,https://www.nanosats.eu/sat/fleet-proxima.html,
KickSat-2,踢脚卫星2号,Cornell University,US,3U,11/17/18,"Reentered, Semi-operational",Reflight of KickSat to carry and deploy 200 Sprites.,sat/kicksat-2.html,https://www.nanosats.eu/sat/kicksat-2.html,
MYSAT-1 (MI CubeSat),我的卫星1号,Khalifa University of Science and Technology,United Arab Emirates,1U,11/17/18,"Reentered, Operational",Educational training plus small camera for vegetation monitoring and new type of battery.,sat/mysat-1.html,https://www.nanosats.eu/sat/mysat-1.html,
3CAT-1 (CubeCat-1),三只猫1号,"Polytechnic University of Catalonia (UPC, BarcelonaTECH)",Spain,1U,11/29/18,"Reentered, Operational, ?",Find out how plasma conditions at space affect wireless energy transmission.,sat/3cat1.html,https://www.nanosats.eu/sat/3cat1.html,
"Centauri-2 (Centauri II, CENTAURI 2)",半人马座2号,Fleet Space,Australia,3U,11/29/18,"Reentered, Operational",IoT satellite network.,sat/fleet-centauri.html,https://www.nanosats.eu/sat/fleet-centauri.html,
FACSAT-1 (FAC SAT),哥伦比亚空军1号,Colombian Air Force,Colombia,3U,11/29/18,"Reentered, Operational",Pathfinder for potential future low-inclination constellation with camera.,sat/facsat.html,https://www.nanosats.eu/sat/facsat.html,
"Hiber One (Hiber 1, Hiber-1, HiberOne)",潜藏1号,Hiber,Netherlands,6U,11/29/18,"Reentered, Was operational, ?, Retired",Test the initial IoT/M2M service.,sat/hiber.html,https://www.nanosats.eu/sat/hiber.html,
HSAT-1,H卫星1号,L3Harris,US,6U,11/29/18,"Reentered, Operational",Orbital testbed for technology development and Earth observation.,sat/hsat-1.html,https://www.nanosats.eu/sat/hsat-1.html,
InnoSat-2 (Innovative Satellite 2),革新卫星2号,ATSB (Astronautic Technology Sdn Bhd),Malaysia,3U,11/29/18,"Reentered, Operational","Dosimeter, a CMOS camera and an experimental reaction wheel.",sat/innosat-2.html,https://www.nanosats.eu/sat/innosat-2.html,
Reaktor Hello World,你好世界反应器,Kuva Space (Reaktor Space Lab),Finland,2U,11/29/18,"Reentered, Operational","Demonstrate CubeSat platform, take photos and amateur radio mission.",sat/reaktor-hello-world.html,https://www.nanosats.eu/sat/reaktor-hello-world.html,
AISTECHSAT-2 (AISTECH2U-1),AIS技术卫星2号,Aistech,Spain,2U,12/3/18,Operational,Commercial constellation for ADS-B and IoT/M2M.,sat/aistechsat.html,https://www.nanosats.eu/sat/aistechsat.html,
Al-Farabi-2 (Al–Farabi 2),阿尔·法拉比2号,Al-Farabi Kazak National University,Kazakhstan,1U,12/3/18,"Semi-operational, Was operational, ?",-,sat/al-farabi-2.html,https://www.nanosats.eu/sat/al-farabi-2.html,
"Audacy Zero (Audacy-0, POINTR)",奥黛西0号,Audacy,US,3U,12/3/18,No signal,Test in-house hardware to provide continuous communications between satellites and operator.,sat/audacy-zero.html,https://www.nanosats.eu/sat/audacy-zero.html,
BRIO (Myriota),布里奥,Myriota,US,3U,12/3/18,"Operational, ?",Test IoT/M2M service payload for Myriota.,sat/brio.html,https://www.nanosats.eu/sat/brio.html,
"CSIM (CSIM-FD, CSIM FD, (Compact Solar Irradiance Monitor)",紧凑型光谱辐照度监测器(试飞),University of Colorado Boulder,US,6U,12/3/18,"Was operational, Retired, ?",Observe the solar spectral irradiance and amateur radio transmissions.,sat/csim.html,https://www.nanosats.eu/sat/csim.html,
EAGLET-1,小鹰1号,OHB Italia,Italy,3U,12/3/18,Operational,Precursor to 20 satellite constellation for AIS and Earth observation.,sat/eaglet-1.html,https://www.nanosats.eu/sat/eaglet-1.html,
"Elysium-Star 2 (ELYUSIUM, Shooting Star Memorial)",极乐星2号,Elysium Space,US,1U,12/3/18,"Deployment prohibited, Passive","Carry loved one ashes, lock of hairs, or meaningful mementos and carries CUBIT identification tag.",sat/elysium-star2.html,https://www.nanosats.eu/sat/elysium-star2.html,
ENOCH (LACMA),以诺,LACMA (Los Angeles County Museum of Art),US,3U,12/3/18,"Reentered, Passive",CubeSat-size work of art to be launched into space and carries CUBIT identification tag.,sat/enoch.html,https://www.nanosats.eu/sat/enoch.html,
"ExseedSat-1 (Exseed Sat-1, Vusat-OSCAR-96 )",超越卫星1号,Exseed Space,India,3U,12/3/18,"Was operational, ?",Demonstrate CubeSat platform and amateur radio communications.,sat/exseedsat-1.html,https://www.nanosats.eu/sat/exseedsat-1.html,
"Fox-1C (Fox 1Cliff, AO-95)",狐狸1C,The Radio Amateur Satellite Corporation (AMSAT),US,1U,12/3/18,Semi-operational,-,sat/fox-1c.html,https://www.nanosats.eu/sat/fox-1c.html,
IRVINE02,欧文2号,University High School,US,1U,12/3/18,"Was semi-operational, ?",Demonstrate electric propulsion system plus camera for educational purposes.,sat/irvine02.html,https://www.nanosats.eu/sat/irvine02.html,
ITASAT 1 (ITASAT-1),巴西航空理工学院卫星,Technological Institute of Aeronautics,Brazil,6U,12/3/18,Semi-operational,Test Brazilian data collection transponder for the Brazilian Data Collection System and Argos System.,sat/itasat-1.html,https://www.nanosats.eu/sat/itasat-1.html,
JY1-SAT (JY1SAT),JY1卫星,Crown Prince Foundation,Jordan,1U,12/3/18,"Semi-operational, Was operational, ?",SSTV transmitter for radio amateurs and educational training.,sat/jy1-sat.html,https://www.nanosats.eu/sat/jy1-sat.html,
K2SAT,韩国科学技术院卫星,Republic of Korea Air Force Academy,South Korea,3U,12/3/18,Was semi-operational,Amateur radio missions plus camera to take photos.,sat/k2sat.html,https://www.nanosats.eu/sat/k2sat.html,
KazSciSat-1,哈萨克斯坦科学卫星1号,Ghalam,Kazakhstan,3U,12/3/18,"No signal, Unknown, ?",-,sat/kazscisat-1.html,https://www.nanosats.eu/sat/kazscisat-1.html,
KNACKSAT (KMUTNB Academic Challenge of Knowledge SATellite),国王科技大学学术知识挑战卫星,King Mongkut's University of Technology,Thailand,1U,12/3/18,Was semi-operational,Demonstrate CubeSat platform technologies plus camera to take photos of Earth.,sat/knacksat.html,https://www.nanosats.eu/sat/knacksat.html,
MinXSS-2 (Miniature X-ray Solar Spectrometer CubeSat),微型X射线太阳光谱仪2号,University of Colorado Boulder,US,3U,12/3/18,Was operational,Better understand the energy distribution of solar flare soft X-ray (SXR) emissions and its impact on Earth’s atmosphere.,sat/minxss-2.html,https://www.nanosats.eu/sat/minxss-2.html,
Orbital Reflector (ORS-1),轨道反射者,Nevada Museum of Art,US,3U,12/3/18,Was operational,Deploy large reflective sculpture.,sat/orbital-reflector.html,https://www.nanosats.eu/sat/orbital-reflector.html,
"Polar Scout A (ORS-7, Polar Scout 1, ORS-7, Kodiak)",空间快速响应7A,US Coast Guard,US,6U,12/3/18,Operational,Provide a maritime surveillance capability for the U.S. Coast Guard to detect position of emergency beacons.,sat/polar-scout.html,https://www.nanosats.eu/sat/polar-scout.html,
"PW-Sat2 (PWSat-2, PW-SAT2)",波兰华沙卫星2号,Warsaw University of Technology,Poland,2U,12/3/18,"Reentered, Operational",Demonstrate solar sail for deorbiting and sun sensor.,sat/pw-sat2.html,https://www.nanosats.eu/sat/pw-sat2.html,
RAAF M1 ( (CubeSat-M1),澳大利亚皇家空军任务1,University of New South Wales (UNSW Canberra),Australia,3U,12/3/18,No signal,Demonstrate CubeSat platform technologies and collect AIS and ADS-B messages.,sat/raaf-m1.html,https://www.nanosats.eu/sat/raaf-m1.html,
RANGE-A (Ranging And Nanosatellite Guidance Experiment),测距与纳卫星制导实验A,Georgia Institute of Technology (Georgia Tech),US,1.5U,12/3/18,"Semi-operational, ?, Unknown","Formation flying and inter-satellite laser ranging system, which also supports communications.",sat/range.html,https://www.nanosats.eu/sat/range.html,
SeaHawk-1,海鹰1号,University of North Carolina Wilmington,US,3U,12/3/18,Operational,Demonstrate miniature ocean color sensor.,sat/seahawk.html,https://www.nanosats.eu/sat/seahawk.html,
